Status Beasiswa BI,NR,,,,,,,,,,,IP,Penghasilan Orang Tua,Tanggungan Orang Tua,Tahun Masuk,Usia
,2015 1,2015 2,2016 1,2016 2,2017 1,2017 2,2018 1,2018 2,2019 1,2019 2,2020 1,,,,,
Tidak,,,3.39,3.12,3.27,3.18,3.43,3.34,3.42,,,3.25,9987472,2,2016,19
Tidak,,,3.18,2.88,3.81,3.65,3.78,3.8,3.64,,,3.5,4277900,5,2016,19
Tidak,,,,,3.76,3.55,3.45,3.52,3.5,3.38,3.69,3.65,3540000,5,2017,18
Tidak,,,,,3.41,3.79,3.83,3.64,3.52,3.15,3.65,3.67,3000000,4,2017,18
Tidak,,,,,,,3.16,3.38,3.74,3.8,3.75,3.45,800000,1,2018,19
Tidak,,,,,2.88,3.2,2.95,2.61,3.03,3.46,3.26,3.02,2400000,4,2017,20
Tidak,,,,,2.97,3.37,3.48,3.46,3.55,3.14,3.64,3.38,2500000,5,2017,21
Tidak,,,,,3.47,3.89,3.38,3.2,3.71,3.64,3.71,3.52,2400000,3,2017,20
Tidak,,,,,,,3.53,3.71,3.48,3.5,3.79,3.56,700000,4,2018,20
Tidak,,,,,3.24,3.21,2.67,2.89,2.64,2.58,3.25,3.02,700000,1,2017,19
Tidak,,,,,3.76,3.47,3.52,3.32,3.33,3.48,3.79,3.48,1500000,2,2017,20
Tidak,,,,,3.29,3.63,3.58,3.37,3.82,3.27,3.41,3.51,2200000,1,2017,19
Tidak,,,,,3.44,3.11,2.83,2.79,2.48,2.39,3.21,3.11,2600000,2,2017,19
Tidak,,,3.47,2.62,3.35,2.89,3.29,3.54,3.3,,,3.11,3600000,2,2016,21
Tidak,,,,,,,3.28,3.56,3.72,3.5,3.76,3.53,2580200,2,2018,20
Tidak,,,,,3.71,3.29,3.46,3.05,2.72,2.75,3.42,3.49,6000000,2,2017,17
Tidak,3.03,2.5,3.45,3.45,3.04,3.27,3,,,,,3.16,4183800,4,2015,21
Tidak,,,3.89,3.71,4,3.6,3.84,3.55,3.81,,,3.8,191392,7,2016,20
